"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"18310"	"ENSDARG00000032601"	"macrod2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1490\")"	"macrod2"	"mono-ADP ribosylhydrolase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1490]"	"ZFIN"
"18311"	"ENSDARG00000076895"	"flrt3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1988\")"	"flrt3"	"fibronectin leucine rich transmembrane 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1988]"	"ZFIN"
"18313"	"ENSDARG00000080018"	"kif16bb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-241\")"	"kif16bb"	"kinesin family member 16Bb [Source:ZFIN;Acc:ZDB-GENE-070424-241]"	"ZFIN"
"18316"	"ENSDARG00000060580"	"tasp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-242\")"	"tasp1"	"taspase, threonine aspartase, 1 [Source:ZFIN;Acc:ZDB-GENE-070424-242]"	"ZFIN"
"18318"	"ENSDARG00000020541"	"ism1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050523-3\")"	"ism1"	"isthmin 1 [Source:ZFIN;Acc:ZDB-GENE-050523-3]"	"ZFIN"
"18319"	"ENSDARG00000030743"	"sptlc3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-281\")"	"sptlc3"	"serine palmitoyltransferase, long chain base subunit 3 [Source:ZFIN;Acc:ZDB-GENE-041210-281]"	"ZFIN"
"18322"	"ENSDARG00000087517"	"btbd3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-282\")"	"btbd3b"	"BTB (POZ) domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-041210-282]"	"ZFIN"
"18325"	"ENSDARG00000013168"	"jag1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011128-4\")"	"jag1b"	"jagged canonical Notch ligand 1b [Source:ZFIN;Acc:ZDB-GENE-011128-4]"	"ZFIN"
"18327"	"ENSDARG00000039069"	"slx4ip"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1365\")"	"slx4ip"	"SLX4 interacting protein [Source:ZFIN;Acc:ZDB-GENE-040426-1365]"	"ZFIN"
"18328"	"ENSDARG00000016139"	"mkks"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-757\")"	"mkks"	"McKusick-Kaufman syndrome [Source:ZFIN;Acc:ZDB-GENE-040426-757]"	"ZFIN"
"18330"	"ENSDARG00000039067"	"srd5a2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-182\")"	"srd5a2b"	"steroid-5-alpha-reductase, alpha polypeptide 2b [Source:ZFIN;Acc:ZDB-GENE-050417-182]"	"ZFIN"
"18331"	"ENSDARG00000010823"	"memo1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5571\")"	"memo1"	"mediator of cell motility 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5571]"	"ZFIN"
"18332"	"ENSDARG00000053386"	"wdr27"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051120-93\")"	"wdr27"	"WD repeat domain 27 [Source:ZFIN;Acc:ZDB-GENE-051120-93]"	"ZFIN"
"18334"	"ENSDARG00000060410"	"thbs2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020708-2\")"	"thbs2a"	"thrombospondin 2a [Source:ZFIN;Acc:ZDB-GENE-020708-2]"	"ZFIN"
"18335"	"ENSDARG00000087911"	"psme4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-452\")"	"psme4a"	"proteasome activator subunit 4a [Source:ZFIN;Acc:ZDB-GENE-091204-452]"	"ZFIN"
"18336"	"ENSDARG00000098526"	"gpr75"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100316-3\")"	"gpr75"	"G protein-coupled receptor 75 [Source:ZFIN;Acc:ZDB-GENE-100316-3]"	"ZFIN"
"18337"	"ENSDARG00000086309"	"erlec1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030521-15\")"	"erlec1"	"endoplasmic reticulum lectin 1 [Source:ZFIN;Acc:ZDB-GENE-030521-15]"	"ZFIN"
"18338"	"ENSDARG00000069044"	"agpat4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1924\")"	"agpat4"	"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) [Source:ZFIN;Acc:ZDB-GENE-040426-1924]"	"ZFIN"
"18339"	"ENSDARG00000104835"	"map3k4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990603-4\")"	"map3k4"	"mitogen-activated protein kinase kinase kinase 4 [Source:ZFIN;Acc:ZDB-GENE-990603-4]"	"ZFIN"
"18340"	"ENSDARG00000017254"	"kcnk1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-78\")"	"kcnk1b"	"potassium channel, subfamily K, member 1b [Source:ZFIN;Acc:ZDB-GENE-090312-78]"	"ZFIN"
"18341"	"ENSDARG00000005454"	"tacc3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-327\")"	"tacc3"	"transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]"	"ZFIN"
"18342"	"ENSDARG00000006003"	"mycla"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2439\")"	"mycla"	"MYCL proto-oncogene, bHLH transcription factor a [Source:ZFIN;Acc:ZDB-GENE-040426-2439]"	"ZFIN"
"18343"	"ENSDARG00000030630"	"mfsd2aa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-166\")"	"mfsd2aa"	"major facilitator superfamily domain containing 2aa [Source:ZFIN;Acc:ZDB-GENE-041114-166]"	"ZFIN"
"18346"	"ENSDARG00000002509"	"zgc:153911"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-174\")"	"zgc:153911"	"zgc:153911 [Source:ZFIN;Acc:ZDB-GENE-061013-174]"	"ZFIN"
"18347"	"ENSDARG00000079155"	"si:ch211-67f13.8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-114\")"	"si:ch211-67f13.8"	"si:ch211-67f13.8 [Source:ZFIN;Acc:ZDB-GENE-090312-114]"	"ZFIN"
"18348"	"ENSDARG00000060340"	"si:dkey-157l19.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-190\")"	"si:dkey-157l19.2"	"si:dkey-157l19.2 [Source:ZFIN;Acc:ZDB-GENE-090313-190]"	"ZFIN"
"18349"	"ENSDARG00000039150"	"lgmn"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021030-1\")"	"lgmn"	"legumain [Source:ZFIN;Acc:ZDB-GENE-021030-1]"	"ZFIN"
"18350"	"ENSDARG00000011819"	"pcnx1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081113-6\")"	"pcnx1"	"pecanex 1 [Source:ZFIN;Acc:ZDB-GENE-081113-6]"	"ZFIN"
"18351"	"ENSDARG00000034734"	"med6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-61\")"	"med6"	"mediator complex subunit 6 [Source:ZFIN;Acc:ZDB-GENE-040625-61]"	"ZFIN"
"18352"	"ENSDARG00000074363"	"TTC9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-172\")"	"TTC9"	"tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20267]"	"HGNC Symbol"
"18353"	"ENSDARG00000013491"	"map3k9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081113-5\")"	"map3k9"	"mitogen-activated protein kinase kinase kinase 9 [Source:ZFIN;Acc:ZDB-GENE-081113-5]"	"ZFIN"
"18354"	"ENSDARG00000004931"	"slc8a3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050810-1\")"	"slc8a3"	"solute carrier family 8 member 3 [Source:ZFIN;Acc:ZDB-GENE-050810-1]"	"ZFIN"
"18355"	"ENSDARG00000039136"	"cox16"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-60\")"	"cox16"	"cytochrome c oxidase assembly factor COX16 [Source:ZFIN;Acc:ZDB-GENE-050417-60]"	"ZFIN"
"18356"	"ENSDARG00000007219"	"actn1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081113-4\")"	"actn1"	"actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]"	"ZFIN"
"18358"	"ENSDARG00000060320"	"dcaf5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-808\")"	"dcaf5"	"ddb1 and cul4 associated factor 5 [Source:ZFIN;Acc:ZDB-GENE-060929-808]"	"ZFIN"
"18359"	"ENSDARG00000078185"	"pacs2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081218-1\")"	"pacs2"	"phosphofurin acidic cluster sorting protein 2 [Source:ZFIN;Acc:ZDB-GENE-081218-1]"	"ZFIN"
"18360"	"ENSDARG00000029818"	"srsf5a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7336\")"	"srsf5a"	"serine and arginine rich splicing factor 5a [Source:ZFIN;Acc:ZDB-GENE-030131-7336]"	"ZFIN"
"18362"	"ENSDARG00000028321"	"synj2bp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6531\")"	"synj2bp"	"synaptojanin 2 binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-6531]"	"ZFIN"
"18363"	"ENSDARG00000077850"	"lgals3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7667\")"	"lgals3a"	"lectin, galactoside binding soluble 3a [Source:ZFIN;Acc:ZDB-GENE-030131-7667]"	"ZFIN"
"18364"	"ENSDARG00000028327"	"gmfb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2114\")"	"gmfb"	"glia maturation factor, beta [Source:ZFIN;Acc:ZDB-GENE-040426-2114]"	"ZFIN"
"18366"	"ENSDARG00000020311"	"cnih1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1944\")"	"cnih1"	"cornichon family AMPA receptor auxiliary protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1944]"	"ZFIN"
"18367"	"ENSDARG00000039130"	"cdkn3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060427-2\")"	"cdkn3"	"cyclin-dependent kinase inhibitor 3 [Source:ZFIN;Acc:ZDB-GENE-060427-2]"	"ZFIN"
"18368"	"ENSDARG00000092896"	"si:ch211-67f24.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-129\")"	"si:ch211-67f24.7"	"si:ch211-67f24.7 [Source:ZFIN;Acc:ZDB-GENE-090313-129]"	"ZFIN"
"18369"	"ENSDARG00000092721"	"si:ch211-67f24.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-129\")"	"si:ch211-67f24.7*1"	"si:ch211-67f24.7 [Source:ZFIN;Acc:ZDB-GENE-090313-129]"	"ZFIN"
"18370"	"ENSDARG00000060506"	"sos2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090319-5\")"	"sos2"	"son of sevenless homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-090319-5]"	"ZFIN"
"18371"	"ENSDARG00000060500"	"l2hgdh"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090319-6\")"	"l2hgdh"	"L-2-hydroxyglutarate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-090319-6]"	"ZFIN"
"18372"	"ENSDARG00000012072"	"dmac2l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-959\")"	"dmac2l"	"distal membrane arm assembly complex 2 like [Source:ZFIN;Acc:ZDB-GENE-040426-959]"	"ZFIN"
"18373"	"ENSDARG00000017329"	"cdkl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040808-34\")"	"cdkl1"	"cyclin-dependent kinase-like 1 (CDC2-related kinase) [Source:ZFIN;Acc:ZDB-GENE-040808-34]"	"ZFIN"
"18374"	"ENSDARG00000039125"	"map4k5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6497\")"	"map4k5"	"mitogen-activated protein kinase kinase kinase kinase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6497]"	"ZFIN"
"18375"	"ENSDARG00000060481"	"atl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8003\")"	"atl1"	"atlastin GTPase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8003]"	"ZFIN"
"18376"	"ENSDARG00000006196"	"sav1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-28\")"	"sav1"	"salvador family WW domain containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-040912-28]"	"ZFIN"
"18377"	"ENSDARG00000060298"	"nin"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070725-1\")"	"nin"	"ninein (GSK3B interacting protein) [Source:ZFIN;Acc:ZDB-GENE-070725-1]"	"ZFIN"
"18378"	"ENSDARG00000002197"	"pygl"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041205-1\")"	"pygl"	"phosphorylase, glycogen, liver [Source:ZFIN;Acc:ZDB-GENE-041205-1]"	"ZFIN"
"18379"	"ENSDARG00000039123"	"trim9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8043\")"	"trim9"	"tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]"	"ZFIN"
"18380"	"ENSDARG00000019487"	"tmx1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2327\")"	"tmx1"	"thioredoxin-related transmembrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2327]"	"ZFIN"
"18381"	"ENSDARG00000002332"	"frmd6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-354\")"	"frmd6"	"FERM domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-050522-354]"	"ZFIN"
"18382"	"ENSDARG00000034181"	"esr2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030116-1\")"	"esr2b"	"estrogen receptor 2b [Source:ZFIN;Acc:ZDB-GENE-030116-1]"	"ZFIN"
"18383"	"ENSDARG00000053484"	"syne2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071218-5\")"	"syne2b"	"spectrin repeat containing, nuclear envelope 2b [Source:ZFIN;Acc:ZDB-GENE-071218-5]"	"ZFIN"
"18390"	"ENSDARG00000027472"	"gphb5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090319-4\")"	"gphb5"	"glycoprotein hormone subunit beta 5 [Source:ZFIN;Acc:ZDB-GENE-090319-4]"	"ZFIN"
"18392"	"ENSDARG00000069118"	"ppp2r5eb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030904-6\")"	"ppp2r5eb"	"protein phosphatase 2, regulatory subunit B', epsilon isoform b [Source:ZFIN;Acc:ZDB-GENE-030904-6]"	"ZFIN"
"18393"	"ENSDARG00000077265"	"wdr89"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090319-3\")"	"wdr89"	"WD repeat domain 89 [Source:ZFIN;Acc:ZDB-GENE-090319-3]"	"ZFIN"
"18394"	"ENSDARG00000060534"	"sgpp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090319-2\")"	"sgpp1"	"sphingosine-1-phosphate phosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-090319-2]"	"ZFIN"
"18395"	"ENSDARG00000092456"	"BX284635.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX284635.1"	""	"Clone-based (Ensembl) gene"
"18397"	"ENSDARG00000003827"	"snapc1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-716\")"	"snapc1b"	"small nuclear RNA activating complex, polypeptide 1b [Source:ZFIN;Acc:ZDB-GENE-040426-716]"	"ZFIN"
"18398"	"ENSDARG00000017489"	"ifi45"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051030-98\")"	"ifi45"	"interferon alpha inducible protein 45 [Source:ZFIN;Acc:ZDB-GENE-051030-98]"	"ZFIN"
"18399"	"ENSDARG00000074217"	"si:dkey-188i13.6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7410\")"	"si:dkey-188i13.6"	"si:dkey-188i13.6 [Source:ZFIN;Acc:ZDB-GENE-030131-7410]"	"ZFIN"
"18400"	"ENSDARG00000039243"	"zgc:152791"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060901-4\")"	"zgc:152791"	"zgc:152791 [Source:ZFIN;Acc:ZDB-GENE-060901-4]"	"ZFIN"
"18401"	"ENSDARG00000078389"	"ifi46"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-190\")"	"ifi46"	"interferon alpha inducible protein 46 [Source:ZFIN;Acc:ZDB-GENE-090312-190]"	"ZFIN"
"18403"	"ENSDARG00000074754"	"si:dkey-188i13.9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-211\")"	"si:dkey-188i13.9"	"si:dkey-188i13.9 [Source:ZFIN;Acc:ZDB-GENE-090313-211]"	"ZFIN"
"18404"	"ENSDARG00000075151"	"si:dkey-188i13.10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-208\")"	"si:dkey-188i13.10"	"si:dkey-188i13.10 [Source:ZFIN;Acc:ZDB-GENE-090313-208]"	"ZFIN"
"18405"	"ENSDARG00000092895"	"si:dkey-188i13.11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-209\")"	"si:dkey-188i13.11"	"si:dkey-188i13.11 [Source:ZFIN;Acc:ZDB-GENE-090313-209]"	"ZFIN"
"18406"	"ENSDARG00000034768"	"phf3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-207\")"	"phf3"	"PHD finger protein 3 [Source:ZFIN;Acc:ZDB-GENE-090313-207]"	"ZFIN"
"18412"	"ENSDARG00000039234"	"zgc:171579"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-32\")"	"zgc:171579"	"zgc:171579 [Source:ZFIN;Acc:ZDB-GENE-080204-32]"	"ZFIN"
"18414"	"ENSDARG00000059832"	"adgrb3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-99\")"	"adgrb3"	"adhesion G protein-coupled receptor B3 [Source:ZFIN;Acc:ZDB-GENE-070424-99]"	"ZFIN"
"18415"	"ENSDARG00000104223"	"lmbrd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-36\")"	"lmbrd1"	"LMBR1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041212-36]"	"ZFIN"
"18417"	"ENSDARG00000096073"	"col19a1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-196\")"	"col19a1"	"collagen, type XIX, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-090312-196]"	"ZFIN"
"18419"	"ENSDARG00000076163"	"col19a1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-196\")"	"col19a1*1"	"collagen, type XIX, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-090312-196]"	"ZFIN"
"18420"	"ENSDARG00000031483"	"col9a1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2410\")"	"col9a1b"	"collagen, type IX, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2410]"	"ZFIN"
"18421"	"ENSDARG00000059843"	"fam135a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080130-1\")"	"fam135a"	"family with sequence similarity 135 member A [Source:ZFIN;Acc:ZDB-GENE-080130-1]"	"ZFIN"
"18422"	"ENSDARG00000078741"	"FRMD1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1008\")"	"FRMD1"	"FERM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21240]"	"HGNC Symbol"
"18424"	"ENSDARG00000079055"	"si:dkey-85a20.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-347\")"	"si:dkey-85a20.4"	"si:dkey-85a20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-347]"	"ZFIN"
"18425"	"ENSDARG00000092550"	"si:dkey-85a20.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-347\")"	"si:dkey-85a20.4*1"	"si:dkey-85a20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-347]"	"ZFIN"
"18426"	"ENSDARG00000075970"	"BX324188.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX324188.1"	"5-hydroxytryptamine receptor 1D-like [Source:NCBI gene;Acc:101886918]"	"Clone-based (Ensembl) gene"
"18427"	"ENSDARG00000059850"	"slc35f3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-118\")"	"slc35f3b"	"solute carrier family 35 member F3b [Source:ZFIN;Acc:ZDB-GENE-090312-118]"	"ZFIN"
"18428"	"ENSDARG00000011724"	"marveld1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-33\")"	"marveld1"	"MARVEL domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050208-33]"	"ZFIN"
"18429"	"ENSDARG00000074415"	"zgc:171482"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-84\")"	"zgc:171482"	"zgc:171482 [Source:ZFIN;Acc:ZDB-GENE-080204-84]"	"ZFIN"
"18431"	"ENSDARG00000039041"	"sfrp5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011108-2\")"	"sfrp5"	"secreted frizzled-related protein 5 [Source:ZFIN;Acc:ZDB-GENE-011108-2]"	"ZFIN"
"18433"	"ENSDARG00000105099"	"golga7bb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-173\")"	"golga7bb"	"golgin A7 family, member Bb [Source:ZFIN;Acc:ZDB-GENE-090312-173]"	"ZFIN"
"18434"	"ENSDARG00000102517"	"crtac1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-28\")"	"crtac1b"	"cartilage acidic protein 1b [Source:ZFIN;Acc:ZDB-GENE-090312-28]"	"ZFIN"
"18435"	"ENSDARG00000025089"	"loxl4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080722-19\")"	"loxl4"	"lysyl oxidase-like 4 [Source:ZFIN;Acc:ZDB-GENE-080722-19]"	"ZFIN"
"18436"	"ENSDARG00000039082"	"zgc:123010"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051120-15\")"	"zgc:123010"	"zgc:123010 [Source:ZFIN;Acc:ZDB-GENE-051120-15]"	"ZFIN"
"18437"	"ENSDARG00000014101"	"pyroxd2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050506-147\")"	"pyroxd2"	"pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:ZFIN;Acc:ZDB-GENE-050506-147]"	"ZFIN"
"18439"	"ENSDARG00000052994"	"slc25a28"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2125\")"	"slc25a28"	"solute carrier family 25 member 28 [Source:ZFIN;Acc:ZDB-GENE-040426-2125]"	"ZFIN"
"18441"	"ENSDARG00000069327"	"nkx3.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050306-27\")"	"nkx3.3"	"NK3 homeobox 3 [Source:ZFIN;Acc:ZDB-GENE-050306-27]"	"ZFIN"
"18442"	"ENSDARG00000039095"	"nkx2.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-178\")"	"nkx2.3"	"NK2 homeobox 3 [Source:ZFIN;Acc:ZDB-GENE-990415-178]"	"ZFIN"
"18443"	"ENSDARG00000039093"	"got1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2003\")"	"got1"	"glutamic-oxaloacetic transaminase 1, soluble [Source:ZFIN;Acc:ZDB-GENE-040426-2003]"	"ZFIN"
"18444"	"ENSDARG00000078087"	"CNNM1"	"=HYPERLINK(\"https://zfin.org/\")"	"CNNM1"	"cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102]"	"HGNC Symbol"
"18445"	"ENSDARG00000078163"	"hpse2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-378\")"	"hpse2"	"heparanase 2 [Source:ZFIN;Acc:ZDB-GENE-090313-378]"	"ZFIN"
"18446"	"ENSDARG00000026170"	"hps1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051113-152\")"	"hps1"	"HPS1 biogenesis of lysosomal organelles complex 3 subunit 1 [Source:ZFIN;Acc:ZDB-GENE-051113-152]"	"ZFIN"
"18447"	"ENSDARG00000039064"	"st3gal7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060322-2\")"	"st3gal7"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 7 [Source:ZFIN;Acc:ZDB-GENE-060322-2]"	"ZFIN"
"18449"	"ENSDARG00000039062"	"morn4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-7\")"	"morn4"	"MORN repeat containing 4 [Source:ZFIN;Acc:ZDB-GENE-050417-7]"	"ZFIN"
"18451"	"ENSDARG00000006350"	"nkx1.2la"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040615-1\")"	"nkx1.2la"	"NK1 transcription factor related 2-like,a [Source:ZFIN;Acc:ZDB-GENE-040615-1]"	"ZFIN"
"18452"	"ENSDARG00000020656"	"prkg1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1308\")"	"prkg1a"	"protein kinase cGMP-dependent 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1308]"	"ZFIN"
"18453"	"ENSDARG00000014103"	"dkk1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-406\")"	"dkk1a"	"dickkopf WNT signaling pathway inhibitor 1a [Source:ZFIN;Acc:ZDB-GENE-090313-406]"	"ZFIN"
"18454"	"ENSDARG00000101911"	"si:dkeyp-86d6.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141216-459\")"	"si:dkeyp-86d6.2"	"si:dkeyp-86d6.2 [Source:ZFIN;Acc:ZDB-GENE-141216-459]"	"ZFIN"
"18455"	"ENSDARG00000098257"	"pcdh15a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030616-3\")"	"pcdh15a"	"protocadherin-related 15a [Source:ZFIN;Acc:ZDB-GENE-030616-3]"	"ZFIN"
"18460"	"ENSDARG00000076699"	"ipmka"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-161\")"	"ipmka"	"inositol polyphosphate multikinase a [Source:ZFIN;Acc:ZDB-GENE-090312-161]"	"ZFIN"
"18461"	"ENSDARG00000079516"	"cisd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1162\")"	"cisd1"	"CDGSH iron sulfur domain 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1162]"	"ZFIN"
"18462"	"ENSDARG00000077469"	"polr1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1598\")"	"polr1b"	"RNA polymerase I subunit B [Source:ZFIN;Acc:ZDB-GENE-040426-1598]"	"ZFIN"
"18463"	"ENSDARG00000075143"	"nanp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-94\")"	"nanp"	"N-acetylneuraminic acid phosphatase [Source:ZFIN;Acc:ZDB-GENE-050522-94]"	"ZFIN"
"18464"	"ENSDARG00000068934"	"cyp1b1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030902-1\")"	"cyp1b1"	"cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030902-1]"	"ZFIN"
